,medication,rate,comment,drug,illness
48,"Remicade (infliximab) for Crohn's Disease, Maintenance",9.0,"I am 37 and have had Crohn's since I was 18. Three surgeries of the terminal Ilieum. From 18 to 27 I was very very ill. The Remicade has basically helped me to have a normal life again. I feel great these days, but one gets to the point where you feel good and want to be medicine free. You hear horror stories of people getting off Remicade and getting galloping Crohn's disease coming back and then the Remicade doesn't work so well.",Remicade (infliximab) ," Crohn's Disease, Maintenance"
50,Remicade (infliximab) for Ulcerative Colitis,10.0,"Severe UC flare hospitalized, prednisone intravenous didn't do anything. Remicade infusions every 4 weeks to start, now every 8. It worked within one week and after about one year I was in complete remission with no sign of UC on my colonoscopy! The IV is okay, very expensive, but you can go to the Remicade website for help paying deductibles no matter what your financial situation is. I wish my dr told me that before I spent $10,000 in deductible and copay this year! I guess it was worth it all around.",Remicade (infliximab) , Ulcerative Colitis
51,Remicade (infliximab) for Ulcerative Colitis,6.0,"I had severe pancolitis and was hospitalized for 2 weeks. They started me on remicade because none of the mesalamine ever worked for me. It worked at first really well and worked well for about 2 months. After that the flare ups became so bad they were giving it to me every week. Even that didn't work this time around so the only option I had was surgery. The doctors didn't want to try other medications since I already had so much remicade in my system. After the surgery I immediately felt great. Some people might not like the idea of having a ostomy but I have gotten use to it. I did have the opportunity to get a j pouch, but one of my dads friend had a very bad experience so I decided not to.",Remicade (infliximab) , Ulcerative Colitis
54,"Remicade (infliximab) for Crohn's Disease, Maintenance",,"Ok I have had Crohn's disease for 15 years this December. I have maintained myself just fine with minor problems. Recently have learned my pain tolerance is so extreme I have been putting up with stuff shouldn't be for uncertain amount of time. Two questions from people with experience would help:
1. How is it going forward with these fistulas? Unheard of before last Wednesday and I have two forming or in process of. 
2. I have limited options going forward and Remicade is seeming best course of action. How have people done with it long term it being an immune suppressant?
I am knowledgeable about these things I am hoping to hear from people who have experience dealing with fistulas and taking Remicade.
Thanks,
Troy S.",Remicade (infliximab) ," Crohn's Disease, Maintenance"
58,"Remicade (infliximab) for Crohn's Disease, Maintenance",8.0,I'm 32 and I've had crohns now for 14 years. Remicade was a god send but only for a limited time. I started off like everyone else with i. V every 8 weeks. Then after a couple of years it was wearing off faster so then every 6 weeks. Then every 4 weeks then it was back on the steroids along with the 4 week treatment. Well after 6-7 years on remicade it wasn't working anymore. I do recommend it because I would give anything right now to get those 6 years back because even though I was became immune to it I felt 20 times better then compared to now. Since the remicade nothing has worked for me since.,Remicade (infliximab) ," Crohn's Disease, Maintenance"
59,Remicade (infliximab) for Ulcerative Colitis,10.0,"I was diagnosed with ulcerative colitis in Nov. They thought they that had it under control, so after being in the hospital for three weeks, I went home for two and almost died! I went back and stayed for over a month. The docs were trying everything with no answers, then they told me about Remicade and said it was for Crohn's disease, but we could try it out and see because it was my last hope. I really was happy to see that it was working and in the first of Jan I went home! I have had a kidney stone because of it, and it has acted up which made docs think it was either my appendix or diverticulitis. I still take it every 8wk through I.V, but the only other problem that I'm experiencing is hair loss now and I don't know if its the Remicade.",Remicade (infliximab) , Ulcerative Colitis
61,"Remicade (infliximab) for Crohn's Disease, Maintenance",10.0,"I am a 28 year old male and was diagnosed with Crohn's 6 years ago. I had a flare up with an abdominal aneurysm and lost approx 90 lbs. I was put on Remicade and it has saved my life. I have been on it every 8 weeks for about 4 years and have regained a healthy weight and my symptoms are at an all time low. My only complaints are that getting the treatment is time consuming and the cost is obscene if you don't have good insurance. However, despite all that, it truly has saved my life and I couldn't be happier with the actual results of the medication.",Remicade (infliximab) ," Crohn's Disease, Maintenance"
62,Remicade (infliximab) for Ulcerative Colitis,8.0,"When my daughter was 13, she had a sudden and severe onset of UC. She was hospitalized for 2 weeks (had constant pain, couldn't eat, and was going to the bathroom  15-20x/ day). She was given IV steroids/medications with no improvement of symptoms. The day after receiving remicade, her pain was gone and she wanted to eat. She went into complete remission and has had no symptoms for the last  4 years. She  does remicade infusions every 10 weeks.  It has been her wonder drug! But my other dtr was diagnosed with crohns a year later at 11. Her onset was slower and she was put on various medications first. Remicade worked for her for several months but then became less effective even with increasing dose and frequency so she was switched to humi",Remicade (infliximab) , Ulcerative Colitis
64,"Remicade (infliximab) for Crohn's Disease, Maintenance",10.0,"I have been on this medication for 14 years now, and maintained remission without any meds. I also had 2 healthy babies while on Remicade.  

I was diagnosed with CD of my ilium at 20 years old. I had been on Pentasa and then Imuran.  Imuran worked okay, but it hurt my stomach and I never felt truly ""good"".  I was put on Remicade after my last blockage in 2006, and I have been in true remission ever since with Remicade alone. 

I am a little tired after my infusion for a day, but then I feel totally normal.  My two kids had no side effects from using during pregnancy.  They are now 6 and 3.  I had 2 c-sections, with no complications.  The only thing it affected, was that my kids couldn't get the Rotavirus vaccine, because it was a live vaccine. (No live vaccines until 6 months for Remicade babies).  That vaccine is new and not critical.  

Remicade has a payment assistance program and they help with co-pays, regardless of income.",Remicade (infliximab) ," Crohn's Disease, Maintenance"
65,"Remicade (infliximab) for Crohn's Disease, Maintenance",10.0,"I am now 80 years old and was diagnosed with Crohn's about 3 years ago.  Late in life, I know, but was misdiagnosed with IBS and put on mesalmine which only made  me lose my appetite, lost so much energy that I could not walk 10 feet.  Went to teaching hospital and was quickly suspected and diagnosed with Crohns.  Shortly afterwards put on Remicade.  Total remission, regained strength and bowel control within a week and appetite.  At first on 8 weeks but noted tendency to some flare tendency toward the end so put on 6 weeks.  Have had no problems and lead a ""normal"" life with wife, children and grandchildren now!  Make sure I follow doctor's advise including all vaccinations he recommends.  He does full blood work before every infusion.  He is very quick to respond to any contacts or questions I make with him.",Remicade (infliximab) ," Crohn's Disease, Maintenance"
68,"Remicade (infliximab) for Crohn's Disease, Maintenance",,"I've had Crohn's for 12 years and I'm 44 now. I believe my Crohn's was triggered or worsened by a doctor misdiagnosing my lower back/hip joint pain from Crohn's and prescribing heavy Ibuprofen. I tried Asacol, Imuran, and Pentasa, but always ended up taking prednisone to calm the symptoms. Every February I ended up with flare-ups. Doctor put me on Remicade 4 years ago and other than some swelling up in the hands initially and getting perma-colds occasionally, it has worked very well. Now my insurance is trying to force me to go to Humira. Doctor is fighting it, but we'll see how it goes. Hope this helps.",Remicade (infliximab) ," Crohn's Disease, Maintenance"
70,Remicade (infliximab) for Crohn's Disease,8.0,"I went on this medicine in 2003 because of disease in my ileum. I was diagnosed with Crohn's the year before, and nothing had worked - asacol, prednisone, imuran.  Then Remicade was a LIFESAVER! I actually could live my life like a normal person again! I had a hard time scheduling my infusions because I was in college, so my advice would be to get it as close to your due date (7 weeks, 8 weeks, etc) as you can so you can get ahead of the flare. I've noticed that if I get my remicade late, I feel pretty terrible until my next dose. I've never gotten sick or had an allergic reaction from it, and I've been on it for 15 years. It's not working as well as it once did, so I'm hoping I can change to a shot so I don't have to sit through an infusion. If you're considering going on Remicade, I highly recommend it. It helped me live a semi-normal life. However, I did develop psoriasis about 10 years ago. I'd happily take psoriasis if it means I can be on Remicade. Best of luck!",Remicade (infliximab) , Crohn's Disease
71,"Remicade (infliximab) for Crohn's Disease, Maintenance",7.0,"I am a 16 year old male, and was diagnosed with Crohn's disease when I was 8. I have only been on Remicade for about 8 months, but have not seen much of a difference. My energy has stayed the same, and I haven't grown any. Improvements have been that I don't have the morning cramps that I usually get, and my appetite has grown. I went from 135 pounds before the infusions to 145 pounds. I have a bloody nose at least three times a week, I now catch stomach viruses a lot easier now, and I feel dizzy/lightheaded often. Overall I guess it's working, I will do an update when I have been on the medicine longer.",Remicade (infliximab) ," Crohn's Disease, Maintenance"
73,"Remicade (infliximab) for Crohn's Disease, Maintenance",1.0,I have received Remicade infusions to treat Crohn's. Felt bad right after the first infusion but was convinced by my physician to continue. I have also received Prolia by injection to treat osteoporosis. I decided to stop the Remicade after 3 infusions as I could feel no benefit and had felt very ill throughout. 6 months later I was diagnosed with metastatic breast cancer - this is in spite of having annual mammograms. I can't help but think the Remicade is linked to the eruption and rapid spread of my cancer. Beware!,Remicade (infliximab) ," Crohn's Disease, Maintenance"
74,"Remicade (infliximab) for Crohn's Disease, Maintenance",10.0,"I was diagnosed with Crohn's Disease when I was 16 years old.  I am now 47.  Remicade has been a blessing.  I am one of the very fortunate ones to have no real side effects.  I have been on Remicade for at least 6 years.  I am able to hold down an excellent job and enjoy being a wife and mother.  I am grateful that I have a job with great benefits.  I wish that the cost was not so outrageous so that others could benefit from this medicine.  My son is on Humira and they have a program that decreases the cost significantly.  Even with my insurance, they cover a large portion of my co-pay.  All we can do is hope that the makers of Remicade will offer the same some day.",Remicade (infliximab) ," Crohn's Disease, Maintenance"
75,"Remicade (infliximab) for Crohn's Disease, Maintenance",1.0,"My 14 yo had her first Remicade infusion a 10 days ago. After 8 days she had severe serum sickness. Her fever shot up to 106 and her blood pressure was really low. She spent 24 hrs in the PICU. It was very scared. Needless to say, she won't be able to take it again. We are hoping there will be no lasting effects but only time will tell. Her symptoms of serum sickness were: fever, chills, severe joint pain, hives all over, swollen hands, red eyes, and dry mouth.",Remicade (infliximab) ," Crohn's Disease, Maintenance"
77,"Inflectra (infliximab) for Ulcerative Colitis, Maintenance",1.0,"I was on remicade for 2 years and was able to have my pouchitis under control after the second infusion. No pain or inflammation. Was using the restroom 2 to 4 times a day.
 I have been on inflectra for 8 months 4 infusions and it has have been down hill  after about 30 days from the first infusion of inflectra. I have felt like rubbish for the past 8 months loose stools using the restroom 10 to12 times a day, cramping, no energy and my inflammation is back. Do not switch to inflectra from remicade. It does not work the same.",Inflectra (infliximab) ," Ulcerative Colitis, Maintenance"
80,Remicade (infliximab) for Ulcerative Colitis,10.0,"I've been getting Remicade infusions for about 15 years. It is the ONLY drug that helped me. I'd been in remission for the past 5 years. Last infusion, my insurance wouldn't pay the hospital. After back and forth communications from doctor, hospital and insurance companies..Medicare...Blue Cross/Blue shield,..Tricare....doctor decreased my max dosage to 1/2 dose. Now I'm having a flare. It's a wonderful drug but the cost is exorbitant...especially for old people like me. Sure was good while the Remicade ride was working. Good luck all",Remicade (infliximab) , Ulcerative Colitis
82,"Remicade (infliximab) for Crohn's Disease, Maintenance",10.0,"I am a 29 year old male and have had Crohn's disease for 8 years.  When I was going through college I became very ill and over a two year period of ups and downs lost 100 lbs.  Only due to the grace of God I made it through college with a civil engineering degree.  I was first put on all the typical drugs: Imuran, Pentasa, Asacol, Prednisone, B-12 injections.  I received the Remicade initially only when I had flare ups.  I watched my diet to a T (specific carbohydrate diet), but would still end up flaring up.  For the past 6 years I have been on a maintenance dose of Remicade every 10 weeks and have done very well.  I do have a goal to eventually get off the Remicade.",Remicade (infliximab) ," Crohn's Disease, Maintenance"
84,Remicade (infliximab) for Ulcerative Colitis,8.0,The medicine works great. I've been on it for almost 2 years. The only thing is I'm getting a lot of the side effects. The one thing that is very bad is the itching on my arms that have lasted a long time. No medicine has helped so if anyone has any ideas on how to stop the itching please give me ideas. The only good thing about this medicine is that it's helping my ulcerative colitis.,Remicade (infliximab) , Ulcerative Colitis
87,Remicade (infliximab) for Crohn's Disease,1.0,There should be a class action lawsuit against Remicade. After 9 months' being on it for Crohn's I developed drug induced Lupus. I was in my 30's and felt like I was 90. I couldn't get out of a chair. My hands curled up and I had to get shots in my back and hands. This drug nearly killed me. My Dr kept pushing me to his physician's assistant and wouldn't see me.,Remicade (infliximab) , Crohn's Disease
88,"Remicade (infliximab) for Crohn's Disease, Maintenance",8.0,"Six years of Remicade infusions so as to replace prior intake of Prednisone.  Must say quite effective, HOWEVER, about 3 1/2 years into it got Shingles of the eye and subsequent post-herpetic neuralgia (and there's still some itching almost five years later).  Then August of 2017 got cellulitis in the right arm, a very painful infection requiring a seven day stay in the hospital on antibiotics followed by a week long IV administration at home. Once I was better, I have stopped the Remicade and so long as I am enjoying the remission I'll never return to it. My GI doc has suggested Entyvio but I most likely wouldn't even do that.  Heck, if it ain't broke don't fix it!( I don't wish to tamper with my immune system and bring about more disasters!).",Remicade (infliximab) ," Crohn's Disease, Maintenance"
